gene,seq_len,model,n_samples,glm_dim,onehot_dim,vcf_dim,ari_glm_vs_clades,ari_onehot_vs_clades,ari_vcf_vs_clades,ari_glm_vs_onehot,ari_glm_vs_vcf,ari_onehot_vs_vcf,sil_glm,sil_onehot,sil_vcf,cka_glm_vs_onehot,cka_glm_vs_vcf,cka_onehot_vs_vcf
YJR151W-A_51,51,GROVER,979,768,44,11,,,,0.9942307269513923,1.0,0.9942307269513923,0.9969356446224396,0.10214504596527069,0.9969356486210419,0.8945565385652731,0.850095774214789,0.7093714204820518
YJR151W-A_51,51,gena-lm-bigbird-base-t2t,979,768,44,11,,,,0.34374123609146984,0.3454485183158276,0.9942307269513923,0.9908061647956349,0.10214504596527069,0.9969356486210419,0.7982713097397722,0.7705904938614645,0.7093714204820518
YJR151W-A_51,51,gpn-brassicales,979,512,44,11,,,,0.9942307269513923,1.0,0.9942307269513923,0.9969350756717349,0.10214504596527069,0.9969356486210419,0.8901895822627762,0.8690972260150814,0.7093714204820518
YJR151W-A_51,51,hyenadna-large-1m-seqlen-hf,979,256,44,11,,,,0.960688521706634,0.9550192377463633,0.9942307269513923,0.9949120984886759,0.10214504596527069,0.9969356486210419,0.3060915857193012,0.7312250069513876,0.7093714204820518
YJR151W-A_51,51,hyenadna-medium-450k-seqlen-hf,979,256,44,11,,,,0.960688521706634,0.9550192377463633,0.9942307269513923,0.9856359853618457,0.10214504596527069,0.9969356486210419,0.7732415998154224,0.6845060922405195,0.7093714204820518
YJR151W-A_51,51,nucleotide-transformer-2.5b-multi-species,979,2560,44,11,,,,0.4170198597792509,0.4189916496789385,0.9942307269513923,0.9877425468383074,0.10214504596527069,0.9969356486210419,0.14241643981143712,0.1999239770081732,0.7093714204820518
YJR151W-A_51,51,nucleotide-transformer-500m-human-ref,979,1280,44,11,,,,0.4170198597792509,0.4189916496789385,0.9942307269513923,0.9877423386236632,0.10214504596527069,0.9969356486210419,0.4153110096335073,0.6138169986236255,0.7093714204820518
YBL071C-B_99,99,GROVER,1011,768,68,17,,,,0.9228375720581018,0.9228375720581018,1.0,0.1454005830808064,0.9910979228486647,0.9910979228486647,0.43621055477567433,0.36187669494660907,0.4926963474911563
YBL071C-B_99,99,gena-lm-bigbird-base-t2t,1011,768,68,17,,,,0.24419960598164028,0.24419960598164028,1.0,0.9749733369087187,0.9910979228486647,0.9910979228486647,0.2168940929254718,0.3093429043259254,0.4926963474911563
YBL071C-B_99,99,gpn-brassicales,1011,512,68,17,,,,0.9228375720581018,0.9228375720581018,1.0,0.9901087224524456,0.9910979228486647,0.9910979228486647,0.34466410615029464,0.2609258888624039,0.4926963474911563
YBL071C-B_99,99,hyenadna-large-1m-seqlen-hf,1011,256,68,17,,,,0.9228375720581018,0.9228375720581018,1.0,0.9901085570251792,0.9910979228486647,0.9910979228486647,0.5177041976023988,0.2820632650265387,0.4926963474911563
YBL071C-B_99,99,hyenadna-medium-450k-seqlen-hf,1011,256,68,17,,,,0.9228375720581018,0.9228375720581018,1.0,0.6708390046785728,0.9910979228486647,0.9910979228486647,0.7950477126697971,0.29738470966607383,0.4926963474911563
YBL071C-B_99,99,nucleotide-transformer-2.5b-multi-species,1011,2560,68,17,,,,0.2996531523636471,0.2996531523636471,1.0,0.9715383163017661,0.9910979228486647,0.9910979228486647,0.12773215352495598,0.18186536893505204,0.4926963474911563
YBL071C-B_99,99,nucleotide-transformer-500m-human-ref,1011,1280,68,17,,,,0.3101705825684978,0.3101705825684978,1.0,0.9782346056076077,0.9910979228486647,0.9910979228486647,0.17376298520693867,0.23499177424777387,0.4926963474911563
YBL006W-A_150,150,GROVER,1011,768,100,25,,,,0.9958619519119819,0.9996590711496924,0.9955210571820771,0.9832414387281294,0.9827810777802143,0.9820846123795185,0.8398980396372768,0.6766104378071955,0.6595703625686884
YBL006W-A_150,150,gena-lm-bigbird-base-t2t,1011,768,100,25,,,,0.4100841618500338,0.41111918599480435,0.9955210571820771,0.8828026610784654,0.9827810777802143,0.9820846123795185,0.7859852037350635,0.6557817200141374,0.6595703625686884
YBL006W-A_150,150,gpn-brassicales,1011,512,100,25,,,,0.9939694594754418,0.9955171389282359,0.9955210571820771,0.9826384744938991,0.9827810777802143,0.9820846123795185,0.7997745909080198,0.7605923093982003,0.6595703625686884
YBL006W-A_150,150,hyenadna-large-1m-seqlen-hf,1011,256,100,25,,,,0.9969238359524749,0.9984716667431047,0.9955210571820771,0.9843336145746826,0.9827810777802143,0.9820846123795185,0.7038802983623381,0.688886336817026,0.6595703625686884
YBL006W-A_150,150,hyenadna-medium-450k-seqlen-hf,1011,256,100,25,,,,0.993718769655809,0.9952664257605967,0.9955210571820771,0.9840343746424625,0.9827810777802143,0.9820846123795185,0.8626100051394824,0.5990249030957707,0.6595703625686884
YBL006W-A_150,150,nucleotide-transformer-2.5b-multi-species,1011,2560,100,25,,,,0.5142329704136837,0.5165626351576207,0.9955210571820771,0.9470769688935251,0.9827810777802143,0.9820846123795185,0.1486746399786696,0.38542029016621693,0.6595703625686884
YBL006W-A_150,150,nucleotide-transformer-500m-human-ref,1011,1280,100,25,,,,0.5152343293117984,0.51683791694989,0.9955210571820771,0.9500719884705232,0.9827810777802143,0.9820846123795185,0.3169965727946264,0.6085017399746162,0.6595703625686884
YBR056W-A_201,201,GROVER,1011,768,112,28,,,,0.9838508362935258,0.9840303155926333,0.9883464160972607,0.9699754038029639,0.9705531396579787,0.9718733319037169,0.8007678475371245,0.8198861623956346,0.7308350843628698
YBR056W-A_201,201,gena-lm-bigbird-base-t2t,1011,768,112,28,,,,0.48441265203955414,0.4861061765572067,0.9883464160972607,0.8437485448852661,0.9705531396579787,0.9718733319037169,0.7220160850403109,0.6186810414437935,0.7308350843628698
YBR056W-A_201,201,gpn-brassicales,1011,512,112,28,,,,0.9969593083265805,0.9856980866210115,0.9883464160972607,0.971807784394695,0.9705531396579787,0.9718733319037169,0.6917792657297636,0.5590994295437017,0.7308350843628698
YBR056W-A_201,201,hyenadna-large-1m-seqlen-hf,1011,256,112,28,,,,0.9775812832054788,0.9778302821225954,0.9883464160972607,0.9704409436871333,0.9705531396579787,0.9718733319037169,0.3771030633025924,0.372114420256455,0.7308350843628698
YBR056W-A_201,201,hyenadna-medium-450k-seqlen-hf,1011,256,112,28,,,,0.9895785257556267,0.9898707101193996,0.9883464160972607,0.9768241151900309,0.9705531396579787,0.9718733319037169,0.6657063764977543,0.5022172172952344,0.7308350843628698
YBR056W-A_201,201,nucleotide-transformer-2.5b-multi-species,1011,2560,112,28,,,,0.6882617124397895,0.6950905767892095,0.9883464160972607,0.9308009638212078,0.9705531396579787,0.9718733319037169,0.23225233103759632,0.4675044286841381,0.7308350843628698
YBR056W-A_201,201,nucleotide-transformer-500m-human-ref,1011,1280,112,28,,,,0.6993652036415268,0.7050678248819943,0.9883464160972607,0.9507271230572846,0.9705531396579787,0.9718733319037169,0.3078931456373314,0.4835498575990889,0.7308350843628698
YBL071W-A_249,249,GROVER,1011,768,144,36,,,,0.9812823681570748,0.9798541168681737,0.986343185413579,0.9070042187568537,0.9134126153063221,0.9117106437221696,0.879858798966899,0.8448884121546376,0.7776401548528703
YBL071W-A_249,249,gena-lm-bigbird-base-t2t,1011,768,144,36,,,,0.3398852300003375,0.33870840324339174,0.986343185413579,0.597509700969274,0.9134126153063221,0.9117106437221696,0.4016001241275734,0.6128119017391078,0.7776401548528703
YBL071W-A_249,249,gpn-brassicales,1011,512,144,36,,,,0.9666184636568287,0.9677389203419552,0.986343185413579,0.907279242297575,0.9134126153063221,0.9117106437221696,0.8096558344770813,0.4677224529006465,0.7776401548528703
YBL071W-A_249,249,hyenadna-large-1m-seqlen-hf,1011,256,144,36,,,,0.9695223348203759,0.9686952286749682,0.986343185413579,0.8965774503216025,0.9134126153063221,0.9117106437221696,0.4990987340777365,0.7634022517786638,0.7776401548528703
YBL071W-A_249,249,hyenadna-medium-450k-seqlen-hf,1011,256,144,36,,,,0.9796653161170219,0.9756703789873572,0.986343185413579,0.9022182719795887,0.9134126153063221,0.9117106437221696,0.6488375349446811,0.7085955526393044,0.7776401548528703
YBL071W-A_249,249,nucleotide-transformer-2.5b-multi-species,1011,2560,144,36,,,,0.30280505718193984,0.3047844067703922,0.986343185413579,0.6972043224969213,0.9134126153063221,0.9117106437221696,0.3424576465656558,0.48138811444528423,0.7776401548528703
YBL071W-A_249,249,nucleotide-transformer-500m-human-ref,1011,1280,144,36,,,,0.3448263635967453,0.3468628104949137,0.986343185413579,0.7418283504893806,0.9134126153063221,0.9117106437221696,0.467511262121137,0.570587200350071,0.7776401548528703
YAR064W_300,300,GROVER,1011,768,96,24,,,,0.9632777263208939,0.9719364594058875,0.9616075555930638,0.9150916371698363,0.9071038736136567,0.9007006223505357,0.5381760201896714,0.3215582439608503,0.7249454725556608
YAR064W_300,300,gena-lm-bigbird-base-t2t,1011,768,96,24,,,,0.3616419581432789,0.37113150774929826,0.9616075555930638,0.8127693030657143,0.9071038736136567,0.9007006223505357,0.657460779566077,0.5645082807425627,0.7249454725556608
YAR064W_300,300,gpn-brassicales,1011,512,96,24,,,,0.9745104918985307,0.9611391995733765,0.9616075555930638,0.917905964365741,0.9071038736136567,0.9007006223505357,0.8166941101230522,0.5758526777055512,0.7249454725556608
YAR064W_300,300,hyenadna-large-1m-seqlen-hf,1011,256,96,24,,,,0.9506104341840805,0.9764730566125022,0.9616075555930638,0.9076559273586694,0.9071038736136567,0.9007006223505357,0.4856728472602482,0.562499484562036,0.7249454725556608
YAR064W_300,300,hyenadna-medium-450k-seqlen-hf,1011,256,96,24,,,,0.960469015087703,0.9715826486703781,0.9616075555930638,0.9184961194099436,0.9071038736136567,0.9007006223505357,0.8136172302725996,0.6454572828158297,0.7249454725556608
